index,generated_output
98135,The width of the product is 9mm.
98136,The height of the product is 10 millimeters (mm).
98137,The height of the product is 18.6 cm.
98138,"The depth of the product is 93 cm, which is approximately 36.5 inches."
98139,The product is 93 cm tall.
98140,The product has a width of 30 cm (11.8 inches).
98141,The product has a height of 40 cm (15.7 inches).
98142,The depth of the product is 30 cm or 11.8 inches.
98143,The depth of the product is 29 inches (73.7 cm).
98144,The product has a height of 29 inches (73.7 cm).
98145,The product has a height of 15 cm (5.9 inches).
98146,The product has a height of 4 cm.
98147,The product has a depth of 4 cm.
98148,The depth of the product is 50 cm.
98149,The depth of the product is 7 inches.
98150,The width of the product is 7 inches.
98151,"The product has the following dimensions:

- Filter: 9 cm x 10.5 cm
- Filter: 8.3 cm x 15.8 cm
- Filter: 9 cm x 10.5 cm
- Filter: 7.2 cm x 14.2 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9 cm x 10.5 cm
- Filter: 9"
98152,The height of the product is 9 cm.
98153,"The product in the image is a Bluetooth module. The wattage of the product is not explicitly mentioned in the image. However, the product is labeled as ""Bluetooth"" and ""Optional: 3,5mm Klinke / 5V USB-Kabel (ca. 1,4m),"" which suggests that it is a Bluetooth module with a 3.5mm jack and a USB cable. The wattage of the Bluetooth module is typically not provided in the product specifications."
98154,"The image does not provide specific information about the weight of the products. However, it does show various devices and their connections."
98155,The product has a height of 29.49 inches.
98156,The product has a height of 2.50 inches.
98157,The depth of the product is 2.50 inches.
98158,The depth of the product is 1.4 inches.
98159,The height of the product is 2 inches.
98160,The product size is 13 inches by 72 inches.
98161,The product is 13 inches tall.
98162,The depth of the product is 4.5 cm (1.77 inches).
98163,The height of the product is 75cm.
98164,The depth of the product is 75 cm.
98165,The width of the product is 75cm.
98166,The height of the product is 2.5 inches.
98167,The product is 63 inches tall.
98168,The depth of the product is 39.5 inches.
98169,The width of the product is 6.22 inches.
98170,The depth of the product is 6.22 inches.
98171,"To determine the volume of the wine bottle, we need to consider the visible dimensions of the bottle and any additional information provided on the label.

1. **Width and Depth**: The label indicates that the bottle is 750 milliliters (ml) tall.
2. **Height**: The bottle is 17.5 centimeters (cm) tall.

Given these dimensions, we can calculate the volume of the bottle using the formula for the volume of a rectangular prism:

\[ \text{Volume} = \text{Width} \times \text{Height} \times \text{Depth} \]

\[ \text{Volume} = 750 \, \text{ml} \times 17.5 \, \text{cm} \times 17.5 \, \text{cm} \]

\[ \text{Volume} = 13,125 \, \text{cm}^3 \]

Therefore, the volume of the wine bottle is 13,125 cubic centimeters (cm³)."
98172,The height of the product is 110 cm.
98173,The depth of the product is 110 cm.
98174,The product measures 28 cm (11 inches) tall.
98175,The product is 28 cm (11 inches) tall.
98176,The width of the product is 28 cm (11 inches).
98177,The width of the product is 0.94 inches.
98178,The product has a height of 20 cm.
98179,The product is 6.5 feet tall.
98180,The product width is 6.5 feet.
98181,The product's item weight is 2.3 grams.
98182,The width of the product is 23.6 inches.
98183,The product has a height of 23.6 inches (600 mm).
98184,The height of the product is 19 cm.
98185,"The product is a regular card, which is typically 5 inches tall."
98186,The depth of the product is 9.5 inches.
98187,The product is a flag with dimensions of 5 feet (150 cm) by 3 feet (90 cm).
98188,The depth of the product is 4 cm.
98189,The height of the product is 4 cm.
98190,The height of the product is 40 cm.
98191,The depth of the product is 40 cm.
98192,The width of the product is 1.89 inches.
98193,The product is 9.44 inches tall.
98194,"The product is described as ""HIGH QUALITY"" and features a side camera, selfie camera, flashlight, and speaker. The dimensions of the product are provided, with a height of 9.44 inches and a width of 1.89 inches."
98195,The height of the product is 1.8 inches.
98196,"The product is a 5-piece canvas set, each piece measuring 10x12 inches. The total width of the set is 50 inches, and the total height is 24 inches."
98197,The product has a width of 12.6 inches (32 cm).
98198,The depth of the product is 2 inches or 5.2 centimeters.
98199,The depth of the product is 14 cm (5.5 inches).
98200,The height of the product is 21 cm (8.2 inches).
98201,The width of the product is 3.5 cm or 1.4 inches.
98202,"The depth of the product is 3.5 cm, which is equivalent to 1.4 inches."
98203,The depth of the product is 43 cm.
98204,The product has a height of 62 cm.
98205,The width of the product is 82 mm.
98206,The depth of the product is 82 mm.
98207,The depth of the product is 7.5 cm.
98208,The width of the product is 9.5 cm.
98209,The depth of the product is 3 cm (1.18 inches).
98210,The width of the product is 3 cm (1.18 inches).
98211,The height of the product is 30.25 inches.
98212,The width of the product is 79 inches.
98213,The width of the product is 12.5 inches.
98214,The width of the product is 15 cm (5.9 inches).
98215,The depth of the product is 15 cm (5.9 inches).
98216,The product has a height of 15 cm (5.9 inches).
98217,The product is a waterproof and removable wallpaper.
98218,"The product is a bottle of unsweetened original Ripple plant-based milk. The dimensions of the bottle are as follows:

- Width: 48 inches
- Depth: 1.5 inches
- Height: 14.2 inches

To determine the volume of the product, we can use the formula for the volume of a rectangular prism:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]

Plugging in the given dimensions:

\[ \text{Volume} = 48 \, \text{inches} \times 1.5 \, \text{inches} \times 14.2 \, \text{inches} \]

\[ \text{Volume} = 1008 \, \text{cubic inches} \]

Therefore, the volume of the product is 1008 cubic inches."
98219,The height of the product is 18.75 inches (47.6 cm).
98220,The height of the product is 7 cm.
98221,The depth of the product is 110cm.
98222,The height of the product is 110cm.
98223,The product has a height of 7.67 inches.
98224,The width of the product is 53.1 inches.
98225,"The product has adjustable shelves, which means the height can be adjusted. However, the specific height of the product cannot be determined from the image alone."
98226,The depth of the product is 4.7 inches.
98227,The width of the product is 5.5 inches.
98228,The width of the product is 14 inches.
98229,The product's item weight is 1500W.
98230,The wattage of the product is 1500W.
98231,The width of the product is 45CM.
98232,The height of the product is 110mm.
98233,The height of the product is 19 inches.
98234,The height of the product is 16mm (0.63 inches).
98235,The product is 16.6 inches tall.
98236,The depth of the product is 0.8 cm.
98237,The height of the product is 2.2 cm.
98238,The width of the product is 80cm (31.5 inches).
98239,The depth of the product is 1.2 inches.
98240,The product has a height of 1.2 inches.
98241,The product is 13 inches tall.
98242,"The product is a backpack with dimensions of 39 cm in length, 12.5 cm in width, and 29 cm in height."
98243,The height of the product is 39 cm.
98244,The width of the product is 5.5 inches (14 cm).
98245,The depth of the product is 5.5 inches (14 cm).
98246,The height of the product is 8.0 cm.
98247,The depth of the product is 8.0 cm.
98248,The depth of the product is 20 cm (7.87 inches).
98249,The height of the product is approximately 70 cm.
98250,The depth of the product is approximately 40 cm.
98251,The height of the product is 39.5 cm.
98252,The width of the product is 27 cm.
98253,The depth of the product is 0.5 cm.
98254,The width of the product is 68 cm.
98255,The width of the product is 12.5 cm.
98256,The height of the product is 12.5 cm.
98257,The depth of the product is 12.5 cm.
98258,The product's item weight is not explicitly indicated in the image.
98259,The width of the product is 2.3 inches.
98260,The depth of the product is 32mm.
98261,The width of the product is 32mm.
98262,The depth of the product is 3 inches.
98263,The product has a height of 3 inches.
98264,The width of the product is 2 inches.
98265,The height of the product is 9.5 inches or 24.2 centimeters.
98266,The depth of the product in the image is 1.5 meters (5 feet).
98267,"The height of the product is 10.5 cm, which is approximately 4.13 inches."
98268,The width of the product is 8.5 cm (3.35 inches).
98269,The product is 2.59 inches tall.
98270,The width of the product is 6 cm.
98271,The width of the product is 14cm (5.5 inches).
98272,The depth of the product is 14cm (5.5 inches).
98273,The width of the product is 29 inches.
98274,The product is described as being 29 inches in depth.
98275,The product is 11.02 inches long.
98276,The product is 11.02 inches tall.
98277,The product is 11.02 inches long.
98278,The width of the product is 6 inches.
98279,The maximum weight recommendation is 1000 lbs.
98280,The height of the product is 27.56 inches.
98281,The height of the product is 99 cm.
98282,The maximum weight recommendation is 1000 lbs.
98283,The depth of the product is 7.7 cm.
98284,The height of the product is 24 cm.
98285,The width of the product is 95mm.
98286,The depth of the product is 14mm.
98287,The cable in the image is a USB-C to HDMI cable. The weight of the cable is not explicitly indicated in the image.
98288,The product is a HDMI cable with a USB Type-C connector. The wattage of the product cannot be determined from the image provided.
98289,The product is 22 inches wide.
98290,The product is 22 inches tall.
98291,The width of the product is 15 cm.
98292,The depth of the product is 1.77 inches (45mm).
98293,The product has a height of 4.7 inches.
98294,The height of the product is 30 cm.
98295,The depth of the product is 8.0 cm.
98296,The width of the product is 7.4 cm.
98297,The width of the product is 23 inches.
98298,The product has a height of 33 cm.
98299,The product's item weight is 90 kg.
98300,The maximum weight recommendation is 90 kg.
98301,The height of the product is 16.5 cm.
98302,The depth of the product is 0.02 cm (0.008 inch).
98303,The width of the product is 14.8 cm (5.8 inches).
98304,The width of the product is 2 inches or 5.3 cm.
98305,The product has a height of 4.3 inches (11 cm).
98306,The depth of the product is 35cm or 13.7 inches.
98307,The width of the product is 35cm or 13.7 inches.
98308,The product's item weight is 1.27 kg (45 oz).
98309,"The product information is provided in a clear and concise manner, with all relevant details listed. The product is made of polyester, has a size of 70.8 x 31.4 inches (180 x 80 cm), and is suitable for all seasons. The care instructions are also provided, including hand washing at a maximum temperature of 40°C and hanging dry. The product is also marked with a care label, indicating that it should not be bleached and should be hand washed at a maximum temperature of 40°C."
98310,The product's item weight is not explicitly indicated in the image.
98311,The height of the product is 30 inches.
98312,The width of the product is 30 inches.
98313,The product is 54 inches tall.
98314,The product has a height of 3.15 inches.
98315,The width of the product is 58 cm.
98316,The width of the product is 8.2 cm.
98317,The product is 12 cm wide.
98318,The product is 12 cm (4.7 inches) deep.
98319,The product is 12 cm tall.
98320,The product has a height of 35.5 cm (14 inches).
98321,"The product is a coiled cable, not a power source. Therefore, there is no wattage information provided on the product itself."
98322,The depth of the product is 9.5 cm.
98323,The width of the product is 9.5 cm.
98324,The product has a height of 79.5 cm.
98325,The image does not provide any information about the weight of the product.
98326,"The product is a bottle of whiskey barrel-aged bitters. The visible dimensions of the bottle are:

- Width: 5 inches
- Depth: 5 inches
- Height: 5 inches

To determine the volume of the bottle, we can use the formula for the volume of a rectangular prism:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]

Substituting the given dimensions:

\[ \text{Volume} = 5 \, \text{inches} \times 5 \, \text{inches} \times 5 \, \text{inches} \]

\[ \text{Volume} = 125 \, \text{cubic inches} \]

Therefore, the volume of the bottle is 125 cubic inches."
98327,The product is 76 cm tall.
98328,"The product is a waist belt with an adjustable feature. The adjustable waist belt is designed to fit different waist sizes, providing a comfortable and secure fit. The belt is made of durable materials, ensuring durability and longevity."
98329,The adjustable waist belt has a width of 76 cm.
98330,The depth of the product is 1.7 inches.
98331,The width of the product is 7.4 inches.
98332,The product is a smartphone.
98333,The sink has a height of 15 inches.
98334,The width of the product is 15 inches.
98335,The product has a height of 15 inches.
98336,"The height of the product is 8 feet 6 inches (8'6"")."
98337,The image does not provide a specific measurement of the product's item weight.
98338,The image does not provide a specific measurement of the product's item weight.
98339,The height of the product is 8.7 inches.
98340,The height of the product is 19 inches.
98341,The product has a height of 8.5 cm.
98342,The product has a width of 162mm (6.38 inches).
98343,The product has a height of 28mm (1.1 inches).
98344,The product is 28mm (1.1 inches) deep.
98345,The item weight is 0.5 pounds.
98346,The width of the product is 30cm.
98347,The depth of the product is 8cm.
98348,The depth of the product is 22 cm (8.66 inches).
98349,The width of the product is 25 cm (9.84 inches).
98350,The product has a height of 22 cm (8.66 inches).
98351,The product has a height of 20.75 inches.
98352,The depth of the product is 7.5 cm (2.95 inches).
98353,The product has a height of 41 cm (16 inches).
98354,The product is 145 cm tall.
98355,The product has a height of 9 cm.
98356,The product is approximately 3.6 cm deep.
98357,The product's item weight is 560W.
98358,The depth of the product is 1.77 inches.
98359,The height of the product is 1.77 inches.
98360,The product weighs 2 pounds (2 lbs).
98361,"The product is a sanding belt, which is typically used for sanding and polishing. The depth of the product is not explicitly stated in the image, but it is a common depth for sanding belts, which is typically around 1 inch (25 mm) wide and 30 inches (762 mm) long."
98362,"The product is 1"" tall."
98363,The width of the product is 1 inch.
98364,The width of the product is 6 7/8 inches.
98365,The depth of the product is 30cm.
98366,The width of the product is 16.5 cm.
98367,The product has a height of 47.7mm.
98368,The height of the product is 6.2 inches (16 cm).
98369,The height of the product is 12.6 inches (32 cm).
98370,The height of the product is 60 cm.
98371,The product has a height of 25 cm (9.84 inches).
98372,The width of the product is 25 cm (9.84 inches).
98373,The depth of the product is 7 cm or 2.76 inches.
98374,The depth of the product is 28 cm.
98375,The width of the product is 31 cm.
98376,The height of the product is 28 cm.
98377,The depth of the product is 20 cm.
98378,The width of the product is 30 cm.
98379,The product has a height of 20 cm.
98380,The width of the product is 7.88 inches.
98381,The height of the product is 7.88 inches.
98382,The width of the product is 14cm (5.51 inches).
98383,The depth of the product is 11.5 cm (4.53 inches).
98384,The height of the product is 4.53 inches.
98385,The product has a height of 82.5 cm.
98386,"The depth of the product is 34 cm, which is approximately 13.4 inches."
98387,The width of the product is 34 cm or 13.4 inches.
98388,The height of the product is 16.1 inches.
98389,The height of the product is 19 inches.
98390,The product is 33 cm (13.0 inches) tall.
98391,The depth of the product is 33 cm (13.0 inches).
98392,The product has a height of 8 cm.
98393,The width of the product is 13.76 inches.
98394,The depth of the product is 13.76 inches.
98395,The height of the product is 350mm (13.6 inches).
98396,The height of the product is 39MM.
98397,The width of the product is 39MM.
98398,The depth of the product is 39MM.
98399,The maximum weight recommendation is 450.0 pounds.
98400,The width of the product is 12 inches.
98401,The product is a circular wreath with dimensions of 12 inches in diameter.
98402,The height of the product is 12 inches.
98403,The product is a Christmas tree-shaped ornament.
98404,The product has a height of 70mm.
98405,The product has a height of 54mm.
98406,The product has a width of 54mm.
98407,The product's item weight is 5.1 ounces.
98408,The depth of the product is 24 inches.
98409,The width of the product in the image is 8.5 inches.
98410,The width of the product is 19.09 inches.
98411,The width of the product is 6.3 inches (16 cm).
98412,The product has a depth of 7.4 cm (3 inches).
98413,The product has a width of 10 cm (4 inches).
98414,The product has a height of 8.07 inches.
98415,The width of the product is 30In.
98416,The depth of the product is 30In.
98417,The volume of the product is 16 fluid ounces (1 pint).
98418,The depth of the product is 12 inches.
98419,The depth of the product is 3.8 inches.
98420,The height of the product is 2.6 inches.
98421,The width of the product is 20cm or 7.9 inches.
98422,The depth of the product is 20cm or 7.9 inches.
98423,The height of the product is 20cm or 7.9 inches.
98424,The width of the product is 500mm (20 inches).
98425,The product's item weight is 178g.
98426,The product is 39 inches tall.
98427,The product has a width of 1.2 inches.
98428,The product is 1.2 inches deep.
98429,The depth of the product is 20 cm.
98430,The width of the product is 30cm.
98431,The product has a height of 17.7 inches.
98432,The width of the product is 11 cm.
98433,The width of the product is 1.7 inches or 4.5 centimeters.
98434,The height of the product is 1.7 inches or 4.5 cm.
98435,The depth of the product is 1.7 inches or 4.5 cm.
98436,The width of the product is 10cm.
98437,The height of the product is 20 cm.
98438,The product is 80cm long and 120cm wide.
98439,"The product is described as ""Universal Cuttable Rubber Boot Mat,"" which suggests that it is a flexible and weather-resistant mat that can be cut to fit various sizes and shapes. The depth of the product is not explicitly mentioned in the description."
98440,The depth of the product is 127 mm.
98441,The depth of the product is 54 cm (21.2 inches).
98442,The height of the product is 98 cm (38.5 inches).
98443,The product has a height of 35 cm (13.7 inches).
98444,The product has a height of 39.4 inches.
98445,The width of the product is 31.1 inches.
98446,The width of the product is 4.46 inches (11.5 cm).
98447,The height of the product is 26.5 cm.
98448,The product is 16 inches tall.
98449,The depth of the product is 16 inches.
98450,The width of the product is 16 inches.
98451,The height of the product is 28.3 inches or 72 centimeters.
98452,The depth of the product is 14.4 inches or 36.5 centimeters.
98453,The width of the product is 14.4 inches or 36.5 centimeters.
98454,The width of the product is 7.72 inches.
98455,The height of the product is 10.12 inches.
98456,The product is 5.9 cm wide.
98457,The depth of the product is 5.9 cm.
98458,The height of the product is 5.9 cm.
98459,The product has a height of 5.1 inches.
98460,The depth of the product is 7.09 inches.
98461,The width of the product is 6 cm.
98462,The height of the product is 2 cm.
98463,The width of the product is 48 inches.
98464,The height of the product is 101 cm.
98465,The height of the product is 6.1 cm or 2.4 inches.
98466,The product has a width of 16.5 inches (42 cm).
98467,The depth of the product is 6.5 inches.
98468,The width of the product in the image is 7 cm.
98469,The depth of the product in the image is 14.5 cm.
98470,The height of the product is 15 inches.
98471,The depth of the product is 31.5 cm or 12.5 inches.
98472,The width of the product is 31.5 cm or 12.5 inches.
98473,The width of the product is 17 inches.
98474,The depth of the product is 17 inches.
98475,The width of the product is 8.26 inches (210 mm).
98476,The depth of the product is 18 cm.
98477,The width of the product is 18 cm.
98478,The product's item weight is 179 grams.
98479,"The width of the product is 34 cm, which is approximately 13.38 inches."
98480,The product has a height of 34 cm (13.38 inches).
98481,The product has a height of 1.2 inches (3 cm).
98482,"The depth of the product is 1.2 inches, which is equivalent to 3 cm."
98483,The product has a width of 15mm.
98484,The product's item weight is 40g.
98485,The depth of the product is 7 inches.
98486,The product is 5 inches tall.
98487,The width of the product is 5 inches.
98488,The height of the product is 3.93 inches or 10 cm.
98489,The depth of the product is 3.93 inches or 10 cm.
98490,The product's item weight is 15600 mAh.
98491,The depth of the product is 39.4 inches.
98492,"The product is a Christmas tree, which is a type of tree used for decoration during the Christmas season. The depth of the product can be determined by the size of the tree. The size of the Christmas tree in the image is 90CM, which means it is a medium-sized tree."
98493,The height of the product is 90CM.
98494,The width of the product is 10cm (3.93 inches).
98495,The height of the product is 77 cm.
98496,The height of the product is 1.9 inches.
98497,The depth of the product is 1.9 inches.
98498,The depth of the product is 12.5 cm (5 inches).
98499,The width of the product is 12.5CM (5 inches).
98500,The height of the product is 12.5 cm (5 inches).
98501,The depth of the product is 46cm.
98502,The width of the product is 28cm.
98503,The depth of the product is 58 mm.
98504,The height of the product is 58 mm.
98505,The depth of the product is 250cm.
98506,The height of the product is 8.2 feet.
98507,The product has a height of 52.7 inches.
98508,The height of the product is 63 inches.
98509,The depth of the product is 2.36 inches.
98510,The width of the product is 2.36 inches.
98511,The depth of the product is 4.9 inches (12.5 cm).
98512,The width of the product is 4.9 inches or 12.5 centimeters.
98513,The product is 7 cm tall.
98514,The height of the product is 104.1 cm.
98515,The depth of the product is 10 cm (3.93 inches).
98516,The width of the product is 6 inches.
98517,The depth of the product is 6 inches.
98518,The width of the product is 2.9cm (1.1 inches).
98519,The height of the product is 23 inches.
98520,The width of the product is 91MM.
98521,"The height of the product is 45.0 mm, which is approximately 1.8 inches."
98522,The product has a height of 18 cm.
98523,The width of the product is 3.6 inches.
98524,The product is 1.7 inches tall.
98525,The width of the product is 4.4 cm (1.61 inches).
98526,The height of the product is 19.5 cm or 7.68 inches.
98527,The height of the product is 10.2 inches.
98528,The depth of the product is 6.9 inches.
98529,The width of the product is 6.9 inches.
98530,The height of the product is 12 inches.
98531,The depth of the product is 1 inch.
98532,The width of the product is 12 inches.
98533,The product has a height of 11 cm.
98534,The width of the product is 42 inches.
98535,The product is 7.28 inches tall.
98536,The depth of the product is 3.93 inches.
98537,The height of the product is 47 inches.
98538,The height of the product is 25.5 inches.
98539,The product has a height of 39 cm.
98540,The height of the product ranges from 10 cm (4 inches) to 30 cm (11.8 inches).
98541,"The depth of the product is 10 cm (4 inches) for the 10 cm (4 inch) basket, 15 cm (6 inches) for the 15 cm (6 inch) basket, 20 cm (7.8 inches) for the 20 cm (7.8 inch) basket, and 25 cm (9.8 inches) for the 25 cm (9.8 inch) basket."
98542,The product has a width of 210mm.
98543,The depth of the product is 210mm.
98544,The width of the product is 3.45 inches.
98545,The product has a height of 4.69 inches.
98546,The width of the product is 10.5 inches.
98547,The depth of the product is 12 inches.
98548,The height of the product is 18 inches or 45 cm.
98549,The depth of the product is 45 cm.
98550,The width of the product is 18 inches or 45 centimeters.
98551,The depth of the product is 62 inches.
98552,The width of the product is 62 inches.
98553,The height of the product is 62 inches.
98554,The depth of the product is 3mm (0.1 inch).
98555,The width of the product is 2.7 cm (1.1 inches).
98556,"The product is available in two sizes, with dimensions of 30 inches and 78 inches."
98557,The depth of the product is 14.5 inches.
98558,The product is 14.5 inches tall.
98559,The product is 14.5 inches long.
98560,The depth of the product is 40 inches.
98561,The depth of the product is 0.52 inch.
98562,The depth of the product is 9.29 cm (3.66 inches).
98563,The height of the product is 16.99 cm (6.69 inches).
98564,The product is 117 cm tall.
98565,The depth of the product is 5.1 cm.
98566,The width of the product is 5.1 cm.
98567,The product has a height of 1.5 inches.
98568,"The product is a tealight candle, which is typically around 1.5 inches in diameter."
98569,The width of the product is 1.5 inches.
98570,The width of the product is 3.14 inches or 8 cm.
98571,The depth of the product is 2.16 inches or 5.5 cm.
98572,The product's item weight is 5.5 LBS.
98573,"The depth of the product is 50mm, which is equivalent to 1.97 inches."
98574,The width of the product is 7.7 inches.
98575,The height of the product is 50 cm.
98576,The width of the product is approximately 40 cm or 15.5 inches.
98577,The depth of the product is 5.08 inches.
98578,The product has a height of 5.08 inches.
98579,The product is 24.2 cm tall.
98580,The product has a height of 165mm (6.5 inches).
98581,The width of the product is 7.6cm.
98582,The height of the product is 8 cm.
98583,The product has a height of 8 cm and a depth of 7.6 cm.
98584,The width of the product is 70 inches.
98585,The depth of the product is 70 inches.
98586,The height of the product is 70 inches.
98587,The height of the product is 4.3 inches.
98588,The depth of the product is 3.9 inches.
98589,The width of the product is 3.9 inches.
98590,The width of the product is 19.7 inches.
98591,The product has a height of 47.2 inches.
98592,The width of the product is 27 inches.
98593,The width of the product is 11.77 inches.
98594,The product has a total length of 150 cm (59.05 inches).
98595,The product has a total length of 150 cm (59.05 inches).
98596,The width of the product is 17.7 inches or 45 cm.
98597,The depth of the product is 17.7 inches or 45 cm.
98598,The product has a height of 17.7 inches or 45 cm.
98599,The height of the product is 25 cm.
98600,The width of the product is 8.45 inches.
98601,The product has a height of 49 inches.
98602,The product has a height of 22.0 inches (56 cm).
98603,The height of the product is 6.7 cm.
98604,The width of the product is 150 mm.
98605,The depth of the product is 100cm.
98606,The depth of the product is 20cm/7.9 inches.
98607,The product has a height of 25 cm (9.8 inches) and 20 cm (7.9 inches).
98608,The product is 11 cm tall.
98609,The depth of the product is 7 cm (2.75 inches).
98610,The width of the product is 7cm (2.75 inches).
98611,The width of the product is 3.9 inches or 10 cm.
98612,The height of the product is 3.9 inches or 10 cm.
98613,The depth of the product is 4.4 inches (11.3 cm).
98614,The height of the product is 75 cm.
98615,The depth of the product is 91CM.
98616,The width of the product is 91CM.
98617,The height of the product is 6.6 inches.
98618,The product's item weight is 48.5 lbs (22 kg).
98619,The maximum weight recommendation is 48.5 lbs (22 kg).
98620,The width of the product is 15cm or 5.91 inches.
98621,The depth of the product is 9.4 inches (24 cm).
98622,The product has an expandable width of 16.5 inches to 27.1 inches.
98623,The adjustable height of the product is 8.5 inches to 9.8 inches.
98624,The product's item weight is about 425 grams or 0.94 pounds.
98625,The height of the product is 82 mm.
98626,The depth of the product is 12 cm.
98627,The product has a height of 12 cm.
98628,The width of the product is 12 cm.
98629,The product is 29 cm tall.
98630,The depth of the product is 29 cm.
98631,The product is 18 inches tall.
